id,name,country,rank,base_url,status,catalogue_url,detail
10325,Politecnico di Torino,Italy,242,,no-website,,no domain or web field in our dataset
10326,Georg-August-Universität Göttingen,Germany,243,,no-website,,no domain or web field in our dataset
7705,Universitat Autónoma de Barcelona,Spain,172,http://www.uab.es,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
1031,University of Florida,United States,212,http://www.ufl.edu,ok,https://www.ufl.edu/academics/programs-courses/,
6339,Maastricht University,Netherlands,239,http://www.unimaas.nl,unreachable,,homepage ERR:unreachable
4748,Hebrew University of Jerusalem,Israel,240,http://www.huji.ac.il,blocked-403,,homepage refuses automated access
10327,"University of Massachusetts, Amherst",United States,247,,no-website,,no domain or web field in our dataset
8080,Chulalongkorn University,Thailand,221,https://www.chula.ac.th,ok,https://www.chula.ac.th/academics/programs/,
8379,United Arab Emirates University,United Arab Emirates,229,http://www.uaeu.ac.ae,ok,https://www.uaeu.ac.ae/academics/programs,
10328,Universiti Teknologi Petronas (UTP),Malaysia,251,,no-website,,no domain or web field in our dataset
8457,Loughborough University,United Kingdom,225,http://www.lboro.ac.uk,ok,https://www.lboro.ac.uk/study/,
1547,University of Wollongong,Australia,184,http://www.uow.edu.au,ok,https://www.uow.edu.au/study/,
10329,Taylor's University (Malaysia),Malaysia,253,,no-website,,no domain or web field in our dataset
10330,Bandung Institute of Technology (ITB),Indonesia,255,,no-website,,no domain or web field in our dataset
7110,Hamad Bin Khalifa University,Qatar,244,https://www.hbku.edu.qa,ok,https://www.hbku.edu.qa/en/programs,
9923,Keio University,Japan,215,https://www.keio.ac.jp,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10331,Université Paris 1 Panthéon-Sorbonne,France,257,,no-website,,no domain or web field in our dataset
8492,University of Reading,United Kingdom,194,http://www.rdg.ac.uk,ok,https://www.reading.ac.uk/ready-to-study/study,
5038,Keio University,Japan,215,http://www.keio.ac.jp,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
2767,Universidad Nacional de Colombia,Colombia,259,http://www.unal.edu.co,unreachable,,homepage ERR:unreachable
10332,University of Navarra,Spain,262,,no-website,,no domain or web field in our dataset
4348,Universitas Gadjah Mada,Indonesia,224,http://www.ugm.ac.id,ok,https://ugm.ac.id/en/news/academics-from-universitas-gadjah-mada-submit-amicus-curiae-on-health-law-to-safeguard-public-services/,
1116,University of Rochester,United States,236,http://www.rochester.edu,ok,http://www.rochester.edu/academics/,
7759,Universitat Pompeu Fabra,Spain,265,http://www.upf.es,blocked-403,,homepage refuses automated access
10333,Charles University,Czechia,265,,no-website,,no domain or web field in our dataset
1520,Curtin University,Australia,183,http://www.curtin.edu.au,ok,https://www.curtin.edu.au/study/,
377,Dartmouth College,United States,247,http://www.dartmouth.edu,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
5113,Kyushu University,Japan,170,http://www.kyushu-u.ac.jp,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
3669,Technische Universität Darmstadt,Germany,253,https://www.tu-darmstadt.de,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
1524,Griffith University,Australia,268,https://www.griffith.edu.au,blocked-403,,homepage refuses automated access
10334,American University of Sharjah (AUS),United Arab Emirates,272,,no-website,,no domain or web field in our dataset
8516,University of Strathclyde,United Kingdom,251,http://www.strath.ac.uk,ok,https://www.strath.ac.uk/courses/,
10335,Universität zu Köln,Germany,272,,no-website,,no domain or web field in our dataset
10336,University of Virginia,United States,275,,no-website,,no domain or web field in our dataset
6355,Massey University,New Zealand,230,http://www.massey.ac.nz,ok,http://www.massey.ac.nz/study/find-a-subject-course-or-qualification/,
4815,University of Milan,Italy,276,https://www.unimi.it,blocked-403,,homepage refuses automated access
6023,UCSI University,Malaysia,269,http://www.ucsi.edu.my,robots-disallowed,,robots.txt disallows every candidate path
10337,Radboud University Nijmegen,Netherlands,279,,no-website,,no domain or web field in our dataset
10338,University of Antwerp,Belgium,280,,no-website,,no domain or web field in our dataset
4732,University College Cork,Ireland,246,http://www.ucc.ie,ok,https://www.ucc.ie/en/study/,
4755,Tel Aviv University,Israel,223,http://www.tau.ac.il,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
3670,Technische Universität Dresden,Germany,218,http://www.tu-dresden.de,ok,https://tu-dresden.de/studium/vor-dem-studium/studienangebot/sins/sins_start?set_language=en,
10339,University of Galway / Ollscoil na Gaillimhe,Ireland,284,,no-website,,no domain or web field in our dataset
1186,Vanderbilt University,United States,250,http://www.vanderbilt.edu,ok,https://www.vanderbilt.edu/academics,
2450,Harbin Institute of Technology,China,256,http://www.hit.edu.cn,ok,http://www.hit.edu.cn/academics/programs/main.psp,
2621,Tianjin University,China,257,http://www.tju.edu.cn,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
8519,University of Sussex,United Kingdom,278,http://www.sussex.ac.uk,ok,https://www.sussex.ac.uk/study/,
1107,University of Pittsburgh,United States,281,http://www.pitt.edu,ok,https://www.pitt.edu/academics,
6509,Norwegian University of Science and Technology,Norway,267,http://www.ntnu.no,no-catalogue-found,,homepage reachable; none of the common catalogue paths returned 200
10340,University of The Witwatersrand,South Africa,291,,no-website,,no domain or web field in our dataset
